citi_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,wanning,0,AT,1566944693,77,48.64,13.53,294.15,1.5
1,lyantonde,0,UG,1566944693,74,-0.41,31.15,292.9,1.49
2,ankang,69,CN,1566944693,95,32.73,108.99,290.0,0.8
3,nikolskoye,0,RU,1566944545,82,59.7,30.79,287.15,0.82
4,atambua,32,ID,1566944693,73,-9.11,124.89,297.1,6.22
5,vangaindrano,94,MG,1566944694,91,-23.35,47.6,292.3,1.69
6,torbay,75,CA,1566944694,93,47.66,-52.73,290.93,4.1
7,bergen,0,NO,1566944694,77,60.39,5.33,292.04,5.7
8,buala,100,SB,1566944694,85,-8.15,159.59,298.7,4.72
9,salta,0,AR,1566944572,44,-24.79,-65.41,301.15,3.6
10,tianpeng,99,CN,1566944694,95,28.88,112.34,297.0,2.97
11,buba,97,GW,1566944694,93,11.59,-14.99,296.8,2.33
12,urucara,22,BR,1566944694,37,-2.54,-57.76,307.5,1.14
13,bakchar,33,RU,1566944695,92,57.02,82.07,283.2,3.27
14,harper,1,US,1566944695,62,30.3,-99.24,307.15,11.3
15,rokupr,100,SL,1566944695,94,9.01,-12.95,296.6,2.12
16,dourbali,0,TD,1566944695,86,11.81,15.86,297.7,2.6
17,barrow,54,AR,1566944556,68,-38.31,-60.23,292.0,5.39
18,mamonovo,0,RU,1566944695,82,54.46,19.94,290.15,3.0
19,bom jesus,80,BR,1566944695,33,-9.08,-44.36,301.7,2.17
20,carauari,82,BR,1566944695,48,-4.88,-66.9,305.2,1.19
21,gelibolu,0,TR,1566944695,73,40.41,26.67,297.15,5.7
22,novo aripuana,81,BR,1566944696,44,-5.12,-60.38,305.4,1.09
23,te anau,75,NZ,1566944696,76,-45.41,167.72,280.6,4.5
24,sandwick,99,GB,1566944696,100,54.57,-2.89,291.48,1.5
25,saint george,20,GR,1566944696,56,39.45,22.34,295.15,0.62
26,kuusamo,0,FI,1566944696,93,65.96,29.19,285.15,1.5
27,cedar city,1,US,1566944696,10,37.68,-113.06,306.15,2.1
28,nikolayevsk-na-amure,83,RU,1566944696,84,53.14,140.72,285.1,1.66
29,limulunga,70,ZM,1566944696,45,-15.13,23.15,295.6,1.79
30,susanville,1,US,1566944697,10,40.42,-120.65,307.15,3.1
31,charyshskoye,100,RU,1566944697,88,51.4,83.56,286.4,1.21
32,marsa matruh,0,EG,1566944670,88,31.35,27.25,299.15,1.9
33,culfa,40,AZ,1566944697,41,38.95,45.63,297.15,5.1
34,cairns,66,AU,1566944697,73,-16.92,145.77,294.82,4.1
35,ghanzi,0,BW,1566944698,15,-21.7,21.65,289.9,1.5
36,luanda,75,AO,1566944698,94,-8.83,13.24,295.15,4.1
37,chicama,20,PE,1566944444,77,-7.84,-79.15,292.15,4.1
38,falun,0,SE,1566944698,82,60.61,15.63,290.37,0.5
39,nouadhibou,0,MR,1566944698,83,20.93,-17.03,296.15,4.6
40,talnakh,0,RU,1566944698,93,69.49,88.39,279.15,5.0
41,dingle,100,PH,1566944698,93,11.0,122.67,296.8,3.98
42,nouakchott,40,MR,1566944443,78,18.08,-15.98,300.15,7.2
43,komsomolskiy,1,RU,1566944698,92,67.55,63.78,273.5,5.55
44,chokurdakh,98,RU,1566944699,84,70.62,147.9,276.6,3.98
45,guanica,40,PR,1566944699,74,17.97,-66.91,303.15,5.1
46,manggar,67,ID,1566944699,92,-2.88,108.27,297.7,2.01
47,san jeronimo,2,PE,1566944542,41,-13.65,-73.37,289.5,4.73
48,goderich,88,CA,1566944699,76,43.74,-81.71,298.71,4.92
49,kosovo polje,0,BA,1566944699,77,43.8,19.29,290.15,1.74
50,alenquer,20,BR,1566944699,66,-1.95,-54.74,304.15,3.6
51,wanxian,100,CN,1566944699,95,30.8,108.39,296.5,2.18
52,bundaberg,40,AU,1566944700,100,-24.87,152.35,293.15,2.1
53,kudahuvadhoo,100,MV,1566944700,75,2.67,72.89,301.3,3.99
54,conde,10,BR,1566944700,91,-11.81,-37.61,293.2,1.76
55,burns lake,62,CA,1566944547,53,54.23,-125.76,289.9,4.26
56,jiangyou,100,CN,1566944700,76,31.78,104.73,291.9,1.21
57,steamboat springs,1,US,1566944700,15,40.48,-106.83,300.15,2.1
58,palu,82,ID,1566944640,90,-0.9,119.87,295.5,1.19
59,antofagasta,20,CL,1566944621,63,-23.65,-70.4,291.15,6.2
60,darhan,15,MN,1566944700,85,49.49,105.92,282.8,1.16
61,ugoofaaru,100,MV,1566944700,75,5.67,73.0,301.2,4.8
62,koping,25,SE,1566944701,77,59.51,15.99,292.59,0.5
63,kruisfontein,0,ZA,1566944418,75,-34.0,24.73,283.5,6.52
64,fortuna,1,US,1566944701,68,40.6,-124.16,296.48,3.1
65,san miguel de cauri,20,PE,1566944701,34,-10.1,-76.58,300.15,8.2
66,lagoa,0,PT,1566944701,60,37.14,-8.45,297.15,4.1
67,namibe,0,AO,1566944701,79,-15.19,12.15,291.8,5.37
68,preston,75,GB,1566944701,88,53.76,-2.71,291.48,1.5
69,leshukonskoye,0,RU,1566944447,91,64.9,45.76,274.7,2.24
70,mareeba,45,AU,1566944701,73,-16.99,145.42,294.82,4.1
71,saint-philippe,40,CA,1566944702,44,45.36,-73.48,298.71,5.1
72,laramie,1,US,1566944702,18,41.31,-105.59,296.48,4.6
73,merauke,84,ID,1566944702,75,-8.49,140.4,297.7,9.05
74,la romana,40,DO,1566944416,79,18.43,-68.97,304.15,6.2
75,tarko-sale,60,RU,1566944702,95,64.92,77.78,283.15,5.91
76,qaanaaq,100,GL,1566944702,90,77.48,-69.36,274.1,3.4
77,oum hadjer,100,TD,1566944702,68,13.3,19.7,300.9,1.24
